Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
GA,US,3/11/20,23,0,0,33.0406,-83.6431
NJ,US,3/11/20,23,1,0,40.2989,-74.521
TX,US,3/11/20,21,0,0,31.0545,-97.5635
OR,US,3/11/20,19,0,0,44.572,-122.0709
PA,US,3/11/20,16,0,0,40.5908,-77.2098
IA,US,3/11/20,13,0,0,42.0115,-93.2105
IN,US,3/11/20,11,0,0,39.8494,-86.2583
DC,US,3/11/20,10,0,0,38.8974,-77.0268
SC,US,3/11/20,10,0,0,33.8569,-80.945
AZ,US,3/11/20,9,0,1,33.7298,-111.4312
MD,US,3/11/20,9,0,0,39.0639,-76.8021
TN,US,3/11/20,9,0,0,35.7478,-86.6923
VA,US,3/11/20,9,0,0,37.7693,-78.17
KY,US,3/11/20,8,0,0,37.6681,-84.6701
SD,US,3/11/20,8,1,0,44.2998,-99.4388
NV,US,3/11/20,7,0,0,38.3135,-117.0554
LA,US,3/11/20,6,0,0,31.1695,-91.8678
WI,US,3/11/20,6,0,1,44.2685,-89.6165
MN,US,3/11/20,5,0,0,45.6945,-93.9002
NE,US,3/11/20,5,0,0,41.1254,-98.2681
NH,US,3/11/20,5,0,0,43.4525,-71.5639
RI,US,3/11/20,5,0,0,41.6809,-71.5118
OH,US,3/11/20,4,0,0,40.3888,-82.7649
CT,US,3/11/20,3,0,0,41.5978,-72.7554
NM,US,3/11/20,3,0,0,34.8405,-106.2485
UT,US,3/11/20,3,0,0,40.15,-111.8624
MI,US,3/11/20,2,0,0,43.3266,-84.5361
AR,US,3/11/20,1,0,0,34.9697,-92.3731
DE,US,3/11/20,1,0,0,39.3185,-75.5071
MT,US,3/11/20,1,0,0,46.9219,-110.4544
WA,US,3/12/20,442,31,1,47.4009,-121.4905
NY,US,3/12/20,328,0,0,42.1657,-74.9481
CA,US,3/12/20,221,4,6,36.1162,-119.6816
MA,US,3/12/20,108,0,1,42.2302,-71.5301
CO,US,3/12/20,45,0,0,39.0598,-105.3111
FL,US,3/12/20,35,2,0,27.7663,-81.6868
IL,US,3/12/20,32,0,2,40.3495,-88.9861
GA,US,3/12/20,31,1,0,33.0406,-83.6431
NJ,US,3/12/20,29,1,0,40.2989,-74.521
TX,US,3/12/20,27,0,0,31.0545,-97.5635
OR,US,3/12/20,24,0,0,44.572,-122.0709
PA,US,3/12/20,22,0,0,40.5908,-77.2098
LA,US,3/12/20,19,0,0,31.1695,-91.8678
TN,US,3/12/20,18,0,0,35.7478,-86.6923
VA,US,3/12/20,17,0,0,37.7693,-78.17
IA,US,3/12/20,16,0,0,42.0115,-93.2105
NC,US,3/12/20,15,0,0,35.6301,-79.8064
NV,US,3/12/20,14,0,0,38.3135,-117.0554
IN,US,3/12/20,13,0,0,39.8494,-86.2583
MD,US,3/12/20,12,0,0,39.0639,-76.8021
SC,US,3/12/20,12,0,0,33.8569,-80.945
KY,US,3/12/20,10,0,0,37.6681,-84.6701
NE,US,3/12/20,10,0,0,41.1254,-98.2681
MN,US,3/12/20,9,0,0,45.6945,-93.9002
WI,US,3/12/20,8,0,1,44.2685,-89.6165
AR,US,3/12/20,6,0,0,34.9697,-92.3731
NH,US,3/12/20,6,0,0,43.4525,-71.5639
CT,US,3/12/20,5,0,0,41.5978,-72.7554
NM,US,3/12/20,5,0,0,34.8405,-106.2485
OH,US,3/12/20,5,0,0,40.3888,-82.7649
UT,US,3/12/20,5,0,0,40.15,-111.8624
VT,US,3/12/20,2,0,0,44.0459,-72.7107
MS,US,3/12/20,1,0,0,32.7416,-89.6787
ND,US,3/12/20,1,0,0,47.5289,-99.784
WY,US,3/12/20,1,0,0,42.756,-107.3025
WA,US,3/14/20,572,37,1,47.4009,-121.4905
NY,US,3/14/20,525,2,0,42.1657,-74.9481
CA,US,3/14/20,340,5,6,36.1162,-119.6816
MA,US,3/14/20,138,0,1,42.2302,-71.5301
CO,US,3/14/20,101,1,0,39.0598,-105.3111
LA,US,3/14/20,77,1,0,31.1695,-91.8678
FL,US,3/14/20,76,3,0,27.7663,-81.6868
NJ,US,3/14/20,69,1,0,40.2989,-74.521
GA,US,3/14/20,66,1,0,33.0406,-83.6431
IL,US,3/14/20,64,0,2,40.3495,-88.9861
TX,US,3/14/20,57,0,0,31.0545,-97.5635
PA,US,3/14/20,47,0,0,40.5908,-77.2098
VA,US,3/14/20,41,1,0,37.7693,-78.17
OR,US,3/14/20,32,0,0,44.572,-122.0709
TN,US,3/14/20,32,0,0,35.7478,-86.6923
WI,US,3/14/20,27,0,1,44.2685,-89.6165
MD,US,3/14/20,26,0,0,39.0639,-76.8021
OH,US,3/14/20,26,0,0,40.3888,-82.7649
MI,US,3/14/20,25,0,0,43.3266,-84.5361
NC,US,3/14/20,24,0,0,35.6301,-79.8064
CT,US,3/14/20,22,0,0,41.5978,-72.7554
MN,US,3/14/20,21,0,0,45.6945,-93.9002
NV,US,3/14/20,21,0,0,38.3135,-117.0554
RI,US,3/14/20,20,0,0,41.6809,-71.5118
SC,US,3/14/20,19,0,0,33.8569,-80.945
IN,US,3/14/20,16,0,0,39.8494,-86.2583
NE,US,3/14/20,14,0,0,41.1254,-98.2681
AZ,US,3/14/20,12,0,1,33.7298,-111.4312
AR,US,3/14/20,12,0,0,34.9697,-92.3731
NM,US,3/14/20,10,0,0,34.8405,-106.2485
UT,US,3/14/20,10,0,0,40.15,-111.8624
SD,US,3/14/20,9,1,0,44.2998,-99.4388
KS,US,3/14/20,8,1,0,38.5266,-96.7265
NH,US,3/14/20,7,0,0,43.4525,-71.5639
AL,US,3/14/20,6,0,0,32.3182,-86.9023
