Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
GA,US,03/15/2020,99.0,1.0,0.0
LA,US,03/15/2020,91.0,2.0,0.0
NJ,US,03/15/2020,98.0,2.0,0.0
IL,US,03/15/2020,93.0,0.0,2.0
TX,US,03/15/2020,72.0,0.0,0.0
VA,US,03/15/2020,45.0,1.0,0.0
OR,US,03/15/2020,36.0,1.0,0.0
MN,US,03/15/2020,35.0,0.0,0.0
MI,US,03/15/2020,33.0,0.0,0.0
NC,US,03/15/2020,33.0,0.0,0.0
MD,US,03/15/2020,32.0,0.0,0.0
OH,US,03/15/2020,37.0,0.0,0.0
WI,US,03/15/2020,32.0,0.0,1.0
CT,US,03/15/2020,24.0,0.0,0.0
UT,US,03/15/2020,28.0,0.0,0.0
IN,US,03/15/2020,20.0,0.0,0.0
IA,US,03/15/2020,18.0,0.0,0.0
KY,US,03/15/2020,20.0,0.0,0.0
NE,US,03/15/2020,17.0,0.0,0.0
AR,US,03/15/2020,16.0,0.0,0.0
DC,US,03/15/2020,16.0,0.0,0.0
NM,US,03/15/2020,13.0,0.0,0.0
AL,US,03/15/2020,12.0,0.0,0.0
MT,US,03/15/2020,7.0,0.0,0.0
HI,US,03/15/2020,6.0,0.0,0.0
ME,US,03/15/2020,12.0,0.0,0.0
ID,US,03/15/2020,5.0,0.0,0.0
MO,US,03/15/2020,5.0,0.0,0.0
WY,US,03/15/2020,3.0,0.0,0.0
NY,US,03/16/2020,967.0,10.0,0.0
WA,US,03/16/2020,904.0,48.0,1.0
CA,US,03/16/2020,557.0,7.0,6.0
MA,US,03/16/2020,197.0,0.0,1.0
NJ,US,03/16/2020,178.0,2.0,1.0
CO,US,03/16/2020,160.0,1.0,0.0
FL,US,03/16/2020,155.0,5.0,0.0
LA,US,03/16/2020,136.0,3.0,0.0
GA,US,03/16/2020,121.0,1.0,0.0
IL,US,03/16/2020,105.0,0.0,2.0
TX,US,03/16/2020,85.0,0.0,0.0
PA,US,03/16/2020,77.0,0.0,0.0
MN,US,03/16/2020,54.0,0.0,0.0
MI,US,03/16/2020,53.0,0.0,0.0
TN,US,03/16/2020,52.0,0.0,0.0
OH,US,03/16/2020,50.0,0.0,0.0
VA,US,03/16/2020,49.0,1.0,0.0
WI,US,03/16/2020,47.0,0.0,1.0
NV,US,03/16/2020,45.0,1.0,0.0
MD,US,03/16/2020,41.0,0.0,3.0
OR,US,03/16/2020,39.0,1.0,0.0
UT,US,03/16/2020,39.0,0.0,0.0
NC,US,03/16/2020,38.0,0.0,0.0
SC,US,03/16/2020,33.0,1.0,0.0
CT,US,03/16/2020,30.0,0.0,0.0
AL,US,03/16/2020,29.0,0.0,0.0
IN,US,03/16/2020,25.0,1.0,0.0
IA,US,03/16/2020,23.0,0.0,0.0
AR,US,03/16/2020,22.0,0.0,0.0
DC,US,03/16/2020,22.0,0.0,0.0
KY,US,03/16/2020,21.0,1.0,1.0
RI,US,03/16/2020,21.0,0.0,0.0
AZ,US,03/16/2020,18.0,0.0,1.0
NE,US,03/16/2020,18.0,0.0,0.0
ME,US,03/16/2020,17.0,0.0,0.0
NH,US,03/16/2020,17.0,0.0,0.0
NM,US,03/16/2020,17.0,0.0,0.0
MS,US,03/16/2020,13.0,0.0,0.0
VT,US,03/16/2020,12.0,0.0,0.0
KS,US,03/16/2020,11.0,1.0,0.0
OK,US,03/16/2020,10.0,0.0,0.0
SD,US,03/16/2020,10.0,1.0,0.0
DE,US,03/16/2020,8.0,0.0,0.0
HI,US,03/16/2020,7.0,0.0,0.0
MO,US,03/16/2020,6.0,0.0,0.0
NY,US,03/17/2020,1706.0,13.0,0.0
WA,US,03/17/2020,1076.0,55.0,1.0
CA,US,03/17/2020,698.0,12.0,6.0
NJ,US,03/17/2020,267.0,3.0,1.0
MA,US,03/17/2020,218.0,0.0,1.0
FL,US,03/17/2020,216.0,6.0,0.0
LA,US,03/17/2020,196.0,4.0,0.0
IL,US,03/17/2020,161.0,1.0,2.0
CO,US,03/17/2020,160.0,2.0,0.0
GA,US,03/17/2020,146.0,1.0,0.0
PA,US,03/17/2020,112.0,0.0,0.0
TX,US,03/17/2020,110.0,1.0,0.0
TN,US,03/17/2020,74.0,0.0,0.0
WI,US,03/17/2020,72.0,0.0,1.0
CT,US,03/17/2020,68.0,0.0,0.0
OH,US,03/17/2020,67.0,0.0,0.0
VA,US,03/17/2020,67.0,2.0,0.0
OR,US,03/17/2020,66.0,1.0,0.0
MI,US,03/17/2020,65.0,0.0,0.0
NC,US,03/17/2020,64.0,0.0,0.0
MD,US,03/17/2020,60.0,0.0,3.0
MN,US,03/17/2020,60.0,0.0,0.0
NV,US,03/17/2020,56.0,1.0,0.0
UT,US,03/17/2020,51.0,0.0,0.0
SC,US,03/17/2020,47.0,1.0,0.0
AL,US,03/17/2020,39.0,0.0,0.0
ME,US,03/17/2020,32.0,0.0,0.0
IN,US,03/17/2020,30.0,2.0,0.0
