Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hunan,Mainland China,01/27/2020,100.0,,
Beijing,Mainland China,01/27/2020,80.0,1.0,2.0
Shandong,Mainland China,01/27/2020,75.0,,
Jiangxi,Mainland China,01/27/2020,72.0,,2.0
Anhui,Mainland China,01/27/2020,70.0,,
Sichuan,Mainland China,01/27/2020,69.0,,
Fujian,Mainland China,01/27/2020,59.0,,
Shanghai,Mainland China,01/27/2020,53.0,1.0,3.0
Jiangsu,Mainland China,01/27/2020,47.0,,1.0
Guangxi,Mainland China,01/27/2020,46.0,,
Shaanxi,Mainland China,01/27/2020,35.0,,
Hainan,Mainland China,01/27/2020,33.0,1.0,
Liaoning,Mainland China,01/27/2020,27.0,,
Yunnan,Mainland China,01/27/2020,26.0,,
Tianjin,Mainland China,01/27/2020,23.0,,
Heilongjiang,Mainland China,01/27/2020,21.0,1.0,
Hebei,Mainland China,01/27/2020,18.0,1.0,
Gansu,Mainland China,01/27/2020,14.0,,
Shanxi,Mainland China,01/27/2020,13.0,,
Inner Mongolia,Mainland China,01/27/2020,11.0,,
Hong Kong,Hong Kong,01/27/2020,8.0,,
Guizhou,Mainland China,01/27/2020,7.0,,
Ningxia,Mainland China,01/27/2020,7.0,,
Jilin,Mainland China,01/27/2020,6.0,,
Macau,Macau,01/27/2020,6.0,,
Qinghai,Mainland China,01/27/2020,6.0,,
Taiwan,Taiwan,01/27/2020,5.0,,
Xinjiang,Mainland China,01/27/2020,5.0,,
WA,US,01/27/2020,1.0,,
IL,US,01/27/2020,1.0,,
CA,US,01/27/2020,2.0,,
AZ,US,01/27/2020,1.0,,
,Japan,01/27/2020,4.0,,1.0
,Thailand,01/27/2020,8.0,,2.0
,South Korea,01/27/2020,4.0,,
,Singapore,01/27/2020,5.0,,
,Vietnam,01/27/2020,2.0,,
,France,01/27/2020,3.0,,
,Nepal,01/27/2020,1.0,,
,Malaysia,01/27/2020,4.0,,
Ontario,Canada,01/27/2020,1.0,,
,Cambodia,01/27/2020,1.0,,
,Sri Lanka,01/27/2020,1.0,,
,Ivory Coast,01/27/2020,1.0,,
New South Wales,Australia,01/27/2020,4.0,,
Victoria,Australia,01/27/2020,1.0,,
Hubei,Mainland China,01/28/2020,3554.0,125.0,80.0
Guangdong,Mainland China,01/28/2020,207.0,,4.0
Zhejiang,Mainland China,01/28/2020,173.0,,3.0
Henan,Mainland China,01/28/2020,168.0,1.0,
Hunan,Mainland China,01/28/2020,143.0,,
Chongqing,Mainland China,01/28/2020,132.0,,
Jiangxi,Mainland China,01/28/2020,109.0,,3.0
Anhui,Mainland China,01/28/2020,106.0,,
Shandong,Mainland China,01/28/2020,95.0,,
Beijing,Mainland China,01/28/2020,91.0,1.0,4.0
Sichuan,Mainland China,01/28/2020,90.0,,
Fujian,Mainland China,01/28/2020,80.0,,
Jiangsu,Mainland China,01/28/2020,70.0,,1.0
Shanghai,Mainland China,01/28/2020,66.0,1.0,4.0
Guangxi,Mainland China,01/28/2020,51.0,,2.0
Shaanxi,Mainland China,01/28/2020,46.0,,
Yunnan,Mainland China,01/28/2020,44.0,,
Hainan,Mainland China,01/28/2020,40.0,1.0,
Liaoning,Mainland China,01/28/2020,34.0,,
Hebei,Mainland China,01/28/2020,33.0,1.0,
Heilongjiang,Mainland China,01/28/2020,33.0,1.0,
Shanxi,Mainland China,01/28/2020,27.0,,
Tianjin,Mainland China,01/28/2020,24.0,,
